1,6,6,6,6,2,2,2,2,2,X,X,X,X,X,X,X,X,X
1,1,1,6,2,2,6,6,6,6,6,X,X,X,X,X,X,X,X
6,6,1,1,6,2,2,2,2,2,2,2,X,X,X,X,X,X,X
6,4,6,6,1,1,1,1,1,5,5,5,2,X,X,X,X,X,X
6,4,4,6,6,6,6,6,6,1,5,5,2,2,X,X,X,X,X
6,4,4,4,6,6,6,6,6,1,1,1,2,5,5,X,X,X,X
6,4,4,4,4,6,6,6,6,6,6,6,1,2,2,5,X,X,X
6,6,4,4,6,6,1,1,1,1,1,1,1,1,2,2,5,X,X
6,6,6,6,6,6,1,3,3,3,3,3,3,3,3,2,5,5,X
1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,2,5,5,5
X,1,3,3,3,3,3,3,3,3,4,3,3,3,3,2,5,5,5
X,X,1,1,1,1,1,1,1,4,4,4,2,2,2,2,5,5,5
X,X,X,5,5,5,5,5,5,1,1,1,2,1,5,5,5,5,5
X,X,X,X,5,5,5,5,5,5,5,1,2,2,1,1,1,1,1
X,X,X,X,X,5,5,5,5,5,5,5,1,2,2,2,2,2,1
X,X,X,X,X,X,5,5,5,5,5,5,5,1,1,1,1,2,1
X,X,X,X,X,X,X,5,5,5,5,5,5,1,2,2,2,2,1
X,X,X,X,X,X,X,X,2,5,5,2,5,2,2,1,1,1,1
X,X,X,X,X,X,X,X,X,2,2,2,2,2,2,1,1,1,1
