1,1,1,5,5,2,6,6,3,1,X,X,X,X,X,X,X,X,X
1,2,1,5,4,5,6,3,6,1,5,X,X,X,X,X,X,X,X
4,1,1,5,5,5,6,6,6,1,1,1,X,X,X,X,X,X,X
3,3,4,2,2,3,4,4,2,5,5,5,5,X,X,X,X,X,X
3,1,3,2,6,2,4,5,4,5,3,5,2,5,X,X,X,X,X
2,3,3,1,2,2,6,4,4,5,5,5,5,5,5,X,X,X,X
3,3,4,3,3,2,2,2,3,3,3,4,4,4,4,4,X,X,X
6,6,3,3,1,3,2,1,2,3,2,3,4,6,4,3,4,X,X
6,4,6,6,3,3,6,2,2,5,3,3,4,4,4,4,4,3,X
1,6,6,5,6,1,1,2,5,2,4,4,4,1,4,1,1,3,2
X,6,3,6,6,1,4,1,2,2,4,6,4,4,4,1,6,1,3
X,X,6,6,5,5,1,1,2,6,2,4,4,1,2,2,1,1,1
X,X,X,3,5,4,5,5,5,2,2,2,1,1,2,3,2,1,5
X,X,X,X,5,5,5,5,6,5,4,4,1,3,1,2,2,1,1
X,X,X,X,X,1,5,6,5,5,4,2,4,1,1,6,6,1,3
X,X,X,X,X,X,5,5,5,3,2,4,4,2,2,6,4,6,1
X,X,X,X,X,X,X,4,4,4,3,3,5,2,4,2,6,6,1
X,X,X,X,X,X,X,X,2,4,3,1,3,3,2,2,2,6,6
X,X,X,X,X,X,X,X,X,4,5,3,3,6,2,5,2,6,5
